"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"TRUE","FALSE",564,24,"TRUE","FALSE",3026,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",1047,13,"FALSE","FALSE",1680,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",2317,18,"FALSE","FALSE",3249,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",51376,13281,"FALSE","FALSE",4397,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1497,21046,"TRUE","TRUE",3001,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2152,7,"FALSE","FALSE",2949,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",71,4476,"TRUE","FALSE",3338,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",3069,1064,"TRUE","FALSE",2872,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",21,31,"FALSE","FALSE",1620,"bot","TRUE","TRUE","FALSE"
"TRUE","FALSE",1202,13,"FALSE","FALSE",1584,"bot","FALSE","FALSE","FALSE"
"FALSE","FALSE",16665,84574,"TRUE","TRUE",5158,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",2479,47,"FALSE","FALSE",4225,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",87,1,"FALSE","FALSE",1159,"bot","TRUE","TRUE","FALSE"
"TRUE","FALSE",942,21,"FALSE","FALSE",1550,"bot","TRUE","TRUE","FALSE"
"TRUE","FALSE",1301,56,"FALSE","FALSE",1323,"human","FALSE","FALSE","FALSE"
"FALSE","FALSE",250,68745,"FALSE","FALSE",2984,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",15985,13893,"TRUE","TRUE",4051,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",4019,110,"FALSE","FALSE",4085,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",18353,1077,"TRUE","FALSE",3879,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1861,356,"TRUE","FALSE",2234,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",607,4254877,"TRUE","TRUE",4120,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",6464,103334,"FALSE","TRUE",4148,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",13883,171,"TRUE","FALSE",4177,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",8888,680345,"TRUE","TRUE",3109,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",3544,25,"FALSE","FALSE",1750,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",160,26,"FALSE","FALSE",1167,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",17028,407,"FALSE","FALSE",1156,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",7338,4201705,"FALSE","TRUE",3403,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",58490,446,"TRUE","FALSE",4032,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",231,113181,"TRUE","FALSE",3454,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1476,33334,"FALSE","TRUE",4397,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2,4577055,"FALSE","TRUE",3837,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1115,2015401,"FALSE","TRUE",4215,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",2747,223,"FALSE","FALSE",4072,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",114220,492,"TRUE","FALSE",2673,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",344286,1662199,"TRUE","TRUE",5151,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",343,3,"FALSE","FALSE",4149,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",148,168610,"TRUE","FALSE",3118,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",8536,152,"FALSE","FALSE",2883,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",11,56,"TRUE","FALSE",3322,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",12742,1151962,"TRUE","TRUE",3792,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",12587,73307,"TRUE","TRUE",3837,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1864,96,"FALSE","FALSE",3847,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1701,731524,"TRUE","TRUE",2883,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",20877,8,"FALSE","FALSE",3446,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",2526,7,"TRUE","FALSE",3777,"bot","TRUE","TRUE","TRUE"
